Serial number,Wave,Region,D4.Income,D2.Gender,D3.Age,D6.Occupation,D7.Educational level
1,2025,South,"15,000,001 - 30,000,000",Female,30 - 34,5. white collar (managerial level and above),Studying/graduated from university/college and vocational school
2,2025,South,"15,000,001 - 30,000,000",Female,25 - 29,6. white collar (junior level),Studying/graduated from university/college and vocational school
3,2025,Mekong,"4,500,001 - 7,500,000",Male,25 - 29,11. student/ pupil,Studying/graduated from university/college and vocational school
4,2025,South,"Above 45,000,001",Male,36 - 40,5. white collar (managerial level and above),Studying/graduated from university/college and vocational school
5,2025,South,"Above 45,000,001",Female,19 - 24,6. white collar (junior level),Studying/graduated from university/college and vocational school
6,2025,North,"15,000,001 - 30,000,000",Male,30 - 34,5. white collar (managerial level and above),Studying/graduated from university/college and vocational school
7,2025,South,"7,500,001 - 15,000,000",Female,36 - 40,5. white collar (managerial level and above),Studying/graduated from university/college and vocational school
8,2025,Central,"15,000,001 - 30,000,000",Male,19 - 24,6. white collar (junior level),Studying/graduated from university/college and vocational school
9,2025,Central,"30,000,001 - 45,000,000",Male,25 - 29,5. white collar (managerial level and above),Studying/graduated from university/college and vocational school
10,2025,Mekong,"15,000,001 - 30,000,000",Female,36 - 40,5. white collar (managerial level and above),Studying/graduated from university/college and vocational school
11,2025,Central,"15,000,001 - 30,000,000",Male,36 - 40,5. white collar (managerial level and above),Studying/graduated from university/college and vocational school
12,2025,Mekong,"7,500,001 - 15,000,000",Female,36 - 40,8. peddle/ freelancer,Not going to school
13,2025,South,"30,000,001 - 45,000,000",Male,25 - 29,5. white collar (managerial level and above),Studying/graduated from university/college and vocational school
14,2025,South,"7,500,001 - 15,000,000",Male,36 - 40,6. white collar (junior level),Studying/graduated from university/college and vocational school
15,2025,South,"30,000,001 - 45,000,000",Female,25 - 29,6. white collar (junior level),Studying/graduated from university/college and vocational school
16,2025,South,"15,000,001 - 30,000,000",Male,30 - 34,11. student/ pupil,Studying/graduated from university/college and vocational school
17,2025,North,"7,500,001 - 15,000,000",Female,30 - 34,6. white collar (junior level),Studying/graduated from university/college and vocational school
18,2025,South,"15,000,001 - 30,000,000",Male,25 - 29,5. white collar (managerial level and above),Studying/graduated from university/college and vocational school
19,2025,South,"30,000,001 - 45,000,000",Male,25 - 29,7. blue collar/ worker,Studying/graduated from university/college and vocational school
20,2025,South,"15,000,001 - 30,000,000",Male,19 - 24,6. white collar (junior level),Studying/graduated from university/college and vocational school
21,2025,South,"7,500,001 - 15,000,000",Male,36 - 40,8. peddle/ freelancer,Studying/graduated from high school
22,2025,South,"15,000,001 - 30,000,000",Male,30 - 34,3. public sector office worker,Studying/graduated from university/college and vocational school
23,2025,North,"15,000,001 - 30,000,000",Male,25 - 29,6. white collar (junior level),Studying/graduated from university/college and vocational school
24,2025,South,"15,000,001 - 30,000,000",Female,19 - 24,11. student/ pupil,Studying/graduated from university/college and vocational school
25,2025,North,"7,500,001 - 15,000,000",Female,36 - 40,6. white collar (junior level),Studying/graduated from university/college and vocational school
26,2025,South,"15,000,001 - 30,000,000",Male,36 - 40,8. peddle/ freelancer,Studying/graduated from high school
27,2025,North,"15,000,001 - 30,000,000",Male,30 - 34,6. white collar (junior level),Studying/graduated from university/college and vocational school
28,2025,North,"4,500,001 - 7,500,000",Male,14 - 18,11. student/ pupil,Studying/graduated from secondary school
29,2025,Central,"7,500,001 - 15,000,000",Female,14 - 18,11. student/ pupil,Studying/graduated from high school
30,2025,Central,"7,500,001 - 15,000,000",Male,36 - 40,8. peddle/ freelancer,Studying/graduated from high school
31,2025,North,"7,500,001 - 15,000,000",Female,14 - 18,11. student/ pupil,Studying/graduated from high school
32,2025,Mekong,"7,500,001 - 15,000,000",Female,30 - 34,8. peddle/ freelancer,Studying/graduated from high school
33,2025,South,"15,000,001 - 30,000,000",Male,30 - 34,8. peddle/ freelancer,Studying/graduated from high school
