Serial number,Wave,Master_Id,TOM,BUMO,Previous_Master_Id,Previous_Master_Brand,Switch_Status,P3M,Consideration,Total_Spontanoues,Total_aided_awareness,P4W
1,2025,100,1,1,200.0,Olong Tea Plus,Switched,1,1,1,1,1
1,2025,200,0,0,,,,0,1,0,1,0
1,2025,300,0,0,,,,0,0,0,0,0
1,2025,400,0,0,,,,0,0,0,0,0
1,2025,500,0,0,,,,0,0,0,0,0
1,2025,600,0,0,,,,0,0,0,0,0
1,2025,700,0,0,,,,0,0,0,0,0
2,2025,100,0,0,,,,0,0,1,1,0
2,2025,200,0,0,,,,0,0,1,1,0
2,2025,300,1,0,,,,1,1,1,1,1
2,2025,400,0,0,,,,0,0,0,1,0
2,2025,500,0,1,300.0,Không Độ,Switched,1,1,0,1,1
2,2025,600,0,0,,,,0,0,0,1,0
2,2025,700,0,0,,,,1,0,0,1,0
3,2025,100,0,0,,,,0,0,0,0,0
3,2025,200,0,0,,,,0,0,0,0,0
3,2025,300,1,1,700.0,Khác,Switched,1,1,1,1,1
3,2025,400,0,0,,,,0,0,0,0,0
3,2025,500,0,0,,,,0,0,0,0,0
3,2025,600,0,0,,,,0,0,0,0,0
3,2025,700,0,0,,,,0,1,0,1,0
4,2025,100,0,0,,,,1,1,0,1,1
4,2025,200,0,0,,,,1,1,1,1,1
4,2025,300,1,0,,,,0,1,1,1,0
4,2025,400,0,1,200.0,Olong Tea Plus,Switched,1,1,1,1,1
4,2025,500,0,0,,,,0,0,0,1,0
4,2025,600,0,0,,,,0,1,0,1,0
4,2025,700,0,0,,,,1,1,0,1,1
5,2025,100,0,0,,,,0,0,1,1,0
5,2025,200,0,0,,,,0,1,1,1,0
5,2025,300,0,0,,,,1,1,0,1,1
5,2025,400,0,0,,,,1,1,0,1,1
5,2025,500,0,0,,,,0,0,0,1,0
5,2025,600,0,0,,,,0,0,0,1,0
5,2025,700,1,1,300.0,Không Độ,Switched,1,1,1,1,1
6,2025,100,1,0,,,,1,1,1,1,1
6,2025,200,0,0,,,,1,1,1,1,1
6,2025,300,0,1,100.0,C2,Switched,1,1,1,1,1
6,2025,400,0,0,,,,0,1,1,1,0
6,2025,500,0,0,,,,1,1,0,1,1
6,2025,600,0,0,,,,0,0,0,1,0
6,2025,700,0,0,,,,1,1,1,1,1
7,2025,100,0,0,,,,1,1,1,1,1
7,2025,200,0,0,,,,1,1,1,1,1
7,2025,300,1,1,100.0,C2,Switched,1,1,1,1,1
7,2025,400,0,0,,,,0,1,0,1,0
7,2025,500,0,0,,,,0,0,0,0,0
7,2025,600,0,0,,,,0,0,0,0,0
7,2025,700,0,0,,,,0,0,0,1,0
8,2025,100,1,0,,,,0,1,1,1,0
8,2025,200,0,1,100.0,C2,Switched,1,1,1,1,1
8,2025,300,0,0,,,,0,0,0,0,0
8,2025,400,0,0,,,,1,1,0,1,1
8,2025,500,0,0,,,,1,1,0,1,1
8,2025,600,0,0,,,,0,0,0,0,0
8,2025,700,0,0,,,,1,1,0,1,0
9,2025,100,0,0,,,,0,0,0,0,0
9,2025,200,0,0,,,,1,1,1,1,1
9,2025,300,1,0,,,,1,1,1,1,1
9,2025,400,0,0,,,,0,1,0,1,0
9,2025,500,0,1,300.0,Không Độ,Switched,1,1,1,1,1
