Serial number,Wave,Master_Id,Media Channel,Media_Channel_Response
1,2025,100,"Advertising on Internet (website, Facebook, YouTube, etc)",1
1,2025,100,Advertising on TV,0
1,2025,100,"Advertising on newspaper, magazines",0
1,2025,100,Advertising on radio,0
1,2025,100,Advertising on store sign/ light box,0
1,2025,100,Advertising on the LCD/ad frame in the office building,0
1,2025,100,Events/ Activations,0
1,2025,100,Marketing staff/ PG,0
1,2025,100,"Outdoor billboard (2 side of the streets, on the building)",0
1,2025,100,Poster in stores,0
1,2025,100,"Product display in stores, supermarket, …",0
1,2025,100,"Promotion in stores, supermarket, …",0
1,2025,100,Recommended by friends/relatives,1
1,2025,100,Recommended by seller,0
1,2025,100,Sampling/ Free sample trial,0
1,2025,100,Seeing others use,0
1,2025,100,"Transportation display (bus, car wrap)",0
1,2025,200,"Advertising on Internet (website, Facebook, YouTube, etc)",0
1,2025,200,Advertising on TV,0
1,2025,200,"Advertising on newspaper, magazines",0
1,2025,200,Advertising on radio,0
1,2025,200,Advertising on store sign/ light box,0
1,2025,200,Advertising on the LCD/ad frame in the office building,0
1,2025,200,Events/ Activations,0
1,2025,200,Marketing staff/ PG,0
1,2025,200,"Outdoor billboard (2 side of the streets, on the building)",0
1,2025,200,Poster in stores,0
1,2025,200,"Product display in stores, supermarket, …",0
1,2025,200,"Promotion in stores, supermarket, …",0
1,2025,200,Recommended by friends/relatives,1
1,2025,200,Recommended by seller,0
1,2025,200,Sampling/ Free sample trial,0
1,2025,200,Seeing others use,0
1,2025,200,"Transportation display (bus, car wrap)",0
1,2025,300,"Advertising on Internet (website, Facebook, YouTube, etc)",0
1,2025,300,Advertising on TV,0
1,2025,300,"Advertising on newspaper, magazines",0
1,2025,300,Advertising on radio,0
1,2025,300,Advertising on store sign/ light box,0
1,2025,300,Advertising on the LCD/ad frame in the office building,0
1,2025,300,Events/ Activations,0
1,2025,300,Marketing staff/ PG,0
1,2025,300,"Outdoor billboard (2 side of the streets, on the building)",0
1,2025,300,Poster in stores,0
1,2025,300,"Product display in stores, supermarket, …",0
1,2025,300,"Promotion in stores, supermarket, …",0
1,2025,300,Recommended by friends/relatives,0
1,2025,300,Recommended by seller,0
1,2025,300,Sampling/ Free sample trial,0
1,2025,300,Seeing others use,0
1,2025,300,"Transportation display (bus, car wrap)",0
1,2025,400,"Advertising on Internet (website, Facebook, YouTube, etc)",0
