Serial number,Wave,Master_Id,Purchased channel,Respond
1,2025,100,Canteen,0
1,2025,100,Coffee shop/ Beverage street vendor,0
1,2025,100,Convenience store,0
1,2025,100,E-commerce website,0
1,2025,100,Eatery place/restaurant,0
1,2025,100,Grocery Shop,1
1,2025,100,Market,0
1,2025,100,Supermarket,0
1,2025,100,Vending machine,0
2,2025,100,Canteen,0
2,2025,100,Coffee shop/ Beverage street vendor,0
2,2025,100,Convenience store,0
2,2025,100,E-commerce website,0
2,2025,100,Eatery place/restaurant,0
2,2025,100,Grocery Shop,0
2,2025,100,Market,0
2,2025,100,Supermarket,0
2,2025,100,Vending machine,0
3,2025,100,Canteen,0
3,2025,100,Coffee shop/ Beverage street vendor,0
3,2025,100,Convenience store,0
3,2025,100,E-commerce website,0
3,2025,100,Eatery place/restaurant,0
3,2025,100,Grocery Shop,0
3,2025,100,Market,0
3,2025,100,Supermarket,0
3,2025,100,Vending machine,0
4,2025,100,Canteen,1
4,2025,100,Coffee shop/ Beverage street vendor,0
4,2025,100,Convenience store,0
4,2025,100,E-commerce website,0
4,2025,100,Eatery place/restaurant,0
4,2025,100,Grocery Shop,0
4,2025,100,Market,0
4,2025,100,Supermarket,0
4,2025,100,Vending machine,0
5,2025,100,Canteen,0
5,2025,100,Coffee shop/ Beverage street vendor,0
5,2025,100,Convenience store,0
5,2025,100,E-commerce website,0
5,2025,100,Eatery place/restaurant,0
5,2025,100,Grocery Shop,0
5,2025,100,Market,0
5,2025,100,Supermarket,0
5,2025,100,Vending machine,0
6,2025,100,Canteen,0
6,2025,100,Coffee shop/ Beverage street vendor,0
6,2025,100,Convenience store,0
6,2025,100,E-commerce website,0
6,2025,100,Eatery place/restaurant,0
6,2025,100,Grocery Shop,0
6,2025,100,Market,0
6,2025,100,Supermarket,1
6,2025,100,Vending machine,0
7,2025,100,Canteen,0
7,2025,100,Coffee shop/ Beverage street vendor,0
7,2025,100,Convenience store,0
7,2025,100,E-commerce website,0
7,2025,100,Eatery place/restaurant,0
7,2025,100,Grocery Shop,0
7,2025,100,Market,0
7,2025,100,Supermarket,1
7,2025,100,Vending machine,0
8,2025,100,Canteen,0
8,2025,100,Coffee shop/ Beverage street vendor,0
8,2025,100,Convenience store,0
8,2025,100,E-commerce website,0
8,2025,100,Eatery place/restaurant,0
8,2025,100,Grocery Shop,0
8,2025,100,Market,0
8,2025,100,Supermarket,0
8,2025,100,Vending machine,0
9,2025,100,Canteen,0
9,2025,100,Coffee shop/ Beverage street vendor,0
9,2025,100,Convenience store,0
9,2025,100,E-commerce website,0
9,2025,100,Eatery place/restaurant,0
9,2025,100,Grocery Shop,0
9,2025,100,Market,0
9,2025,100,Supermarket,0
9,2025,100,Vending machine,0
10,2025,100,Canteen,0
10,2025,100,Coffee shop/ Beverage street vendor,0
10,2025,100,Convenience store,1
10,2025,100,E-commerce website,0
10,2025,100,Eatery place/restaurant,0
10,2025,100,Grocery Shop,0
10,2025,100,Market,0
10,2025,100,Supermarket,0
10,2025,100,Vending machine,0
11,2025,100,Canteen,0
11,2025,100,Coffee shop/ Beverage street vendor,0
11,2025,100,Convenience store,0
11,2025,100,E-commerce website,0
11,2025,100,Eatery place/restaurant,0
11,2025,100,Grocery Shop,0
11,2025,100,Market,0
11,2025,100,Supermarket,0
11,2025,100,Vending machine,0
12,2025,100,Canteen,0
12,2025,100,Coffee shop/ Beverage street vendor,0
12,2025,100,Convenience store,0
12,2025,100,E-commerce website,0
12,2025,100,Eatery place/restaurant,0
12,2025,100,Grocery Shop,0
12,2025,100,Market,0
12,2025,100,Supermarket,0
12,2025,100,Vending machine,0
13,2025,100,Canteen,0
13,2025,100,Coffee shop/ Beverage street vendor,0
13,2025,100,Convenience store,0
13,2025,100,E-commerce website,0
13,2025,100,Eatery place/restaurant,0
13,2025,100,Grocery Shop,0
13,2025,100,Market,0
13,2025,100,Supermarket,0
13,2025,100,Vending machine,0
14,2025,100,Canteen,0
14,2025,100,Coffee shop/ Beverage street vendor,0
14,2025,100,Convenience store,0
14,2025,100,E-commerce website,0
14,2025,100,Eatery place/restaurant,0
14,2025,100,Grocery Shop,1
14,2025,100,Market,0
14,2025,100,Supermarket,0
14,2025,100,Vending machine,0
15,2025,100,Canteen,0
15,2025,100,Coffee shop/ Beverage street vendor,0
15,2025,100,Convenience store,0
15,2025,100,E-commerce website,0
15,2025,100,Eatery place/restaurant,0
15,2025,100,Grocery Shop,0
15,2025,100,Market,0
15,2025,100,Supermarket,0
15,2025,100,Vending machine,1
16,2025,100,Canteen,0
16,2025,100,Coffee shop/ Beverage street vendor,0
16,2025,100,Convenience store,0
16,2025,100,E-commerce website,0
16,2025,100,Eatery place/restaurant,0
16,2025,100,Grocery Shop,1
16,2025,100,Market,0
16,2025,100,Supermarket,0
